Mode,NLC,ASC,Station,Coverage,Source,Mon-Thu Entries,Fri Entries,Sat Entries,Sun Entries,Mon-Thu Exits,Fri Exits,Sat Exits,Sun Exits,En/Ex
LO,9587,SPBr,Shepherd's Bush NR,Station entry / exit,Gateline,9045,9472,8784,5501,9074,9685,8974,5507,4551302
LO,1024,SDCr,Shoreditch High Street,Station entry / exit,Gateline,8209,8647,9213,6663,8745,10760,11795,6829,4601311
LO,6972,SLVr,Silver Street,Station entry / exit,Scaled,3556,3465,2412,1846,3630,3635,2453,1949,1682406
LO,1452,SATr,South Acton,Station entry / exit,Scaled,1592,1618,1501,1327,1684,1629,1422,1398,831678
LO,1451,SOHr,South Hampstead,Station entry / exit,Scaled,855,862,634,574,829,868,660,574,412312
LO,709,SKTu,South Kenton,LO boarding / alighting,Scaled,421,447,358,531,694,694,484,567,284940
LO,7404,STOr,South Tottenham,Station entry / exit,Gateline,1986,1974,1394,1054,2053,2092,1451,1011,950085
LO,6947,SBUr,Southbury,Station entry / exit,Gateline,1443,1432,1024,733,1525,1454,1046,795,693974
LO,6973,SJSr,St James Street,Station entry / exit,Gateline,1845,1892,1678,1049,1829,1792,1522,1016,893897
LO,6968,SMHr,Stamford Hill,Station entry / exit,Scaled,1507,1542,1013,801,1475,1477,883,739,695033
LO,6934,SKWr,Stoke Newington,Station entry / exit,Manual Count,2519,2423,2043,1449,2395,2222,1895,1438,1176525
LO,717,SPKu,Stonebridge Park,LO boarding / alighting,Scaled,1036,1012,422,287,1027,985,406,277,440025
LO,719,SFDu,Stratford,LO boarding / alighting,Loadweigh,20080,20730,24687,25297,19124,19038,23061,24595,11121978
LO,1083,SQEr,Surrey Quays,Station entry / exit,Gateline,6214,6702,6031,3561,5547,5840,5361,3233,2939844
LO,5437,SYDr,Sydenham,LO boarding / alighting,Scaled,2701,2674,2623,1680,3274,3250,2478,1932,1456686
LO,6949,TEOr,Theobalds Grove,Station entry / exit,Gateline,1060,995,630,609,963,885,568,565,466660
LO,6952,TURr,Turkey Street,Station entry / exit,Gateline,1539,1493,917,711,1425,1323,781,676,671342
LO,736,UPMu,Upminster,LO boarding / alighting,Scaled,718,699,488,185,710,680,442,223,318551
LO,1524,UHLr,Upper Holloway,Station entry / exit,Manual Count,2431,2419,1754,1181,2540,2760,1796,1158,1169992
LO,742,WALu,Walthamstow Central,LO boarding / alighting,Scaled,5555,5663,4941,3340,4844,4755,6580,4612,2702322
LO,7407,WMWr,Walthamstow Queen's Road,Station entry / exit,Scaled,1755,1747,1398,810,1673,1682,2458,1403,877303
LO,5372,WWRr,Wandsworth Road,Station entry / exit,Scaled,988,679,874,553,979,674,833,563,455293
LO,7408,WNPr,Wanstead Park,Station entry / exit,Gateline,1915,1925,1544,875,1849,1825,1459,878,890743
LO,1085,WPEr,Wapping,Station entry / exit,Gateline,2670,2912,2963,1805,2521,2623,2666,1739,1340834
